id,baslik,goruntu,ana_bulgu,etiket_kaynagi,esleme,modlar,hekim_onayi,soru_sayisi,soru_metinleri
auto_commons_clavicle_fx,Klavikula kırığı · AP (ön-arka) grafi #1,commons_clavicle_fx,clavicle_fracture,author_caption,educational_mapping,practice,beklemede,1,Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir?
auto_commons_diaphragm_hernia,Konjenital diyafram hernisi · AP (ön-arka) grafi #1,commons_diaphragm_hernia,diaphragm_hernia_congenital,author_caption,educational_mapping,practice,beklemede,1,Elinizdeki hastanın grafisinin projeksiyonu/pozisyonu nedir?
auto_commons_hampton_hump,Hampton hörgücü · PA (arka-ön) grafi #1,commons_hampton_hump,hampton_hump,author_caption,educational_mapping,practice,beklemede,1,Aşağıdakilerden hangisi bu grafinin projeksiyon/pozisyon bilgisidir?
auto_commons_hiatal_lat,Hiatal herni · Lateral grafi #1,commons_hiatal_lat,hiatal_hernia,author_caption,educational_mapping,practice,beklemede,2,Bu hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Grafide retrokardiyak hava-sıvı seviyesi görülen bir hastada bu bulgunun en olası nedeni nedir?
auto_commons_hiatal_pa,Hiatal herni · PA (arka-ön) grafi #1,commons_hiatal_pa,hiatal_hernia,author_caption,educational_mapping,practice,beklemede,2,Bu hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Grafide retrokardiyak hava-sıvı seviyesiyle hiatal herni düşünülen semptomatik (reflü) bir hastada tanıyı doğrulamak için en uygun sonraki adım hangisidir?
auto_commons_rib_fx_2347,Kot kırığı · AP (ön-arka) grafi #1,commons_rib_fx_2347,rib_fracture,author_caption,educational_mapping,practice,beklemede,1,Bu filmin çekim projeksiyonu/pozisyonu hangisidir?
auto_commons_westermark,Westermark işareti · PA (arka-ön) grafi #1,commons_westermark,westermark_sign,author_caption,educational_mapping,practice,beklemede,1,Elinizdeki hastanın grafisinin projeksiyonu/pozisyonu nedir?
auto_epmc_pmc12702530_cureus_0017_00000096755_i01,Hiperinflasyon · PA (arka-ön) grafi #1,epmc_pmc12702530_cureus_0017_00000096755_i01,hyperinflation,author_caption,educational_mapping,practice,beklemede,1,Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir?
auto_epmc_pmc12988829_cureus_0018_00000103485_i01,Hava hapsi · AP (ön-arka) grafi #1,epmc_pmc12988829_cureus_0018_00000103485_i01,air_trapping,author_caption,educational_mapping,practice,beklemede,2,Bu hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Tek taraflı hava hapsi (air trapping) grafi bulgusunun altta yatan mekanizması nedir?
auto_epmc_pmc13035185_cureus_0018_00000104431_i01,Steeple işareti · PA (arka-ön) grafi #1,epmc_pmc13035185_cureus_0018_00000104431_i01,steeple_sign,author_caption,educational_mapping,practice,beklemede,1,Bu grafinin projeksiyonu/pozisyonu nedir?
